taxon	matK	rpoB	spo-9	Pvr1	Pvr1.1	Waxy	atpE	rpoc1	cox1	rps2	unknown	GGR	5-enolpyruvylshikimate-3-phosphate-synthase	F3H	OSM1	endochitinase	beta-1,3-glucanase	LEAFY	unknown.1	5S-rRNA	NIA	matK.1	rpi-vnt1-like-protein	S	S.1	psbE	CHS-E	hypothetical-protein	COSII_At1g20050	COSII_At1g50020-like-protein	COSII_At2g38020	COSII_At5g14320	COSII_At2g38020.1	rpl32	rps16-trnQ(UUG)-intergenic-spacer	rpl32.1	AT3-1	At1g14300-like-protein	NIA.1	rps16	P	At5g04590-like-protein	unknown.2	TBP1	atpB	trnH-psbA-intergenic-spacer;-may-contain-psbA	At3g24010-like-protein	At3g62940-like-protein	18S-ribosomal-RNA	rbcL	nepGS	osmotin	lfy	glo	rpoC1	S1-RNase	beta-amylase	beta-amylase.1	phyA	trnK(UUU)-rps16-intergenic-spacer	COSII_At1g13380	trnY	contains-promoter-and-5'-UTR	ANS	transposase	unknown.3	H6H	rps3	At1g44760-like-protein	COSII_At2g15890	COSII_At3g10920	putative-progesterone-5-beta-reductase	3-methylcrotonyl-CoA-carboxylase	trnL	flavonoid-3'-hydroxylase	unknown.4	bHLH1	RPB2	adh	unknown.5	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer.1	rpl16	ITS1	chloroplast-glutamine-synthetase	bHLH2	ndhF	ITS2	rpl2	waxy	putative-Pto-like-serine/threonine-kinase	PMT	MPF1-like-protein	S.2	GBSSI	petN	psbB-psbH-intergenic-spacer	NAMT	rbcL.1	disease-resistance-protein-RGH4	TPS17	NADH-dehydrogenase-subunit-1	psbA	5.8S-ribosomal-RNA	PI	myb1	trnS(GCU)-trnG(UCC)-intergenic-spacer	26S-ribosomal-RNA	infA	trnT-trnL-intergenic-region	18S-ribosomal-RNA.1	trnL.1	ndhJ	LFY	S.3	unknown.6	16S-rRNA	WDR1	S.4	S.5	S1-RNase.1	MADS	MPF2-like	unknown.7	NtoDFR	
Solanum calileguae																																																																																							AF500806								DQ169022																	EF068252														
Solanum asperum	GQ982096																																																																																																		GQ981876				GQ982364																							
Solanum inaequilaterum																			GQ163595																																																																												GQ163666																	GQ163521														
Solanum caesium																																																																																							AF500805								DQ169021																	DQ180445														
Solanum supinum																			EU176122																																																																												EU176138																	EU176158														
Solanum sturtianum																			GQ163627																																																																												GQ163701																	GQ163565														
Solanum humile																			EU176121																																																																												EU176137																	EU176157														
Solanum polhillii																			HQ721871																																																																												HQ721996																	HQ721936														
Solanum rupincola																			GU591091																																																																												GU591142																	GU591041														
Solanum hapalum																			GQ163593																																																																												GQ163661																	GQ163514														
Solanum decompositiflorum																			GU591068																																																																												GU591120																	GU591012														
Solanum delitescens																																																																																							AF500821								DQ169026																	DQ180428														
Solanum latens																			GQ163602																																																																												GQ163673																	GQ163531														
Solanum coactiliferum																			GQ163576																																																																												GQ163642																	DQ855041														
Solanum mauense																			HQ721863																																																																												HQ721988																	HQ721927														
Solanum semiarmatum																			GQ163622																																																																												GQ163696																	GQ163559														
Solanum usaramense																			HQ721891																																																																												HQ722015																	HQ721954														
Solanum burchellii																			HQ721842																																																																												HQ721968																	HQ721905														
Solanum conglobatum																			JN542583																																																																												JN661838																	JN661821														
Solanum cordatum																			HQ721851																																																																												HQ721977																	HQ721914														
Solanum ochrophyllum																																																																																							AF500848								DQ169040																	DQ180435														
Solanum dimorphispinum																			GQ163581																																																																												GQ163648																	GQ163500														
Solanum seaforthianum																																																																																							U47425								DQ169048																	JF804932														
Solanum wacketii																			HQ457403																																																																												HQ457422																	HQ457413														
Solanum ursinum																			GU591102																																																																												GU591151																	GU591050														
Solanum gardneri																			GU591070																																																																												GU591122																	GU591015														
Solanum macoorai																			GQ163606																																																																												GQ163679																	GQ163537														
Solanum nigriviolaceum																			EU427555																																																																												HQ721993																	HQ721932														
Solanum armentalis																			JN542581																																																																												JN661836																	JN661819														
Solanum limitare																			GQ163603																																																																												GQ163675																	GQ163533														
Solanum clarum																			AY875763		FJ155406																																																																										AY875441																															
Solanum paludosum																			GU591082																																																																												GU591133																	GU591031														
Solanum coriaceum																			GU591067																																																																												GU591119																	GU591010														
Solanum nienkui																			HQ721867																																																																												HQ721992																	HQ721931														
Solanum agnewiorum																			HQ721835																																																																												HQ721961																	HQ721898														
Solanum gabrielae																			GQ163588																																																																												GQ163656																	GQ163509														
Solanum subinerme																			GU591095																																																																												GU591146																	GU591045														
Solanum densevestitum																			GQ163579																																																																												GQ163646																	GQ163498														
Solanum argopetalum																			GQ163573																																																																												GQ163635																	GQ163487														
Solanum fiebrigii																																																																																							AF500828								DQ169029																	DQ180447														
Solanum vaccinioides																			GQ163629																																																																												DQ812111																	DQ812110														
Solanum innoxium																			GQ163596																																																																												GQ163667																	GQ163524														
Solanum erythracanthum																			HQ721856																																																																												HQ721982																	HQ721919														
Solanum jucundum																			GQ163598																																																																												GQ163669																	GQ163526														
