taxon	trnS	trnH-psbA-intergenic-spacer	trnL	ndhJ	atp1	rps2	rbcL	matR	unknown	18S-ribosomal-RNA	RPC1	DRF	putative-CBF/DREB-transcription-factor	RPB2I	trnS-trnG-intergenic-spacer	rpL16	rpoB	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer-and-tRNA-His-(trnH)	matK	waxy	putative-UBC35/UBC13A	putative-Lhcb3	atpB-rbcL-intergenic-spacer	rbcL.1	rpoC1	RBP2I	RPB2	RPB2D	RPB2D.1	trnL-trnF-intergenic-spacer	RPC1.1	RPB2I.1	rpoB.1	28S-ribosomal-RNA	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	unknown.1	unknown.2	COX3	phyA	trnT	putative-cytosolic-glutathione-reductase	trnS-trnG-intergenic-spacer.1	nad1	28S-ribosomal-RNA.1	trnT-trnL-intergenic-spacer	26S-ribosomal-RNA	RPB2I.2	RPB2I.3	RPB2I.4	ndhF	atpB	
Arctostaphylos glutinosa																																						GQ280929															
Arctostaphylos osoensis																																						GQ280962															
Arctostaphylos insularis																																						GQ280936															
Arctostaphylos regismontana																																						GQ280979															
Arctostaphylos glandulosa																																						AF297775															
Arctostaphylos pacifica																																						GQ280964															
Arctostaphylos media																																						GQ280950															
Arctostaphylos malloryi																																						GQ280939															
Arctostaphylos otayensis																																						GQ280963															
Arctostaphylos pringlei																																						AF297784															
Arctostaphylos klamathensis																																						GQ280937															
Arctostaphylos wellsii																																						GQ281005															
Arctostaphylos sensitiva																																						GQ280982															
Arctostaphylos ohloneana																																						GQ280961															
Arctostaphylos parryana																																						AF297757															
Arctostaphylos crustacea																																						GQ280988															
Arctostaphylos montaraensis																																						GQ280953															
Arctostaphylos virgata																																						GQ281001															
Arctostaphylos bowermaniae																																						GQ280940															
Arctostaphylos rainbowensis																																						GQ280978															
Arctostaphylos refugioensis																																						AF297776															
Arctostaphylos gabilanensis																																						GQ280923															
Arctostaphylos confertiflora																																						GQ280919															
Arctostaphylos peninsularis																																						AF297785															
Arctostaphylos franciscana																																						AF106816															
Arctostaphylos edmundsii																																						GQ280922															
Arctostaphylos viridissima																																						AF297777															
Arctostaphylos australis																																						GQ280912															
Arctostaphylos luciana																																						GQ280938															
Arctostaphylos pumila																																						GQ280973															
Arctostaphylos nevadensis																																						GQ280957															
Arctostaphylos montana																																						GQ280933															
Ceratostema peruvianum																																						AY274559															
Agapetes scortechinii																			U89755																																		
Leptecophylla juniperina																																						EF635454															
Melichrus adpressus																								JQ667439																													
Melichrus erubescens																							JF437590																														
Epacris moscaliana																							JF437588																														
Epacris sinclairii																							JX993992																														
Epacris longiflora																							JF437587																														
Epacris glabella																							JF437586																														
Epacris virgata																							JF437589																														
Epacris obtusifolia																							AY636042																														
Epacris exserta																							JF437585																														
Epacris pauciflora																							JX993991																														
Epacris gunnii																							AY636041																														
Lissanthe scabra																							AY376667																														
Lissanthe pleiosperma																								JQ667430																													
Lissanthe pleurandroides																							AY636043																														
Lissanthe synandra																							AY636038																														
Conostephium pungens																							JF437584																														
Styphelia minutiflora																								JQ667451																													
Styphelia violaceospicata																								JQ667476																													
Vaccinium acrobracteatum																																						AY274562															
Vaccinium darrowii																																						AY274573															
Vaccinium varingifolium																																						AY274564															
Vaccinium randaiense																																						AF432452															
Vaccinium elliottii																																		AY561835																			
Vaccinium barandanum																																						AY274563															
Vaccinium dunalianum																																						JX066806															
Vaccinium ashei												AB610763																																									
Vaccinium fuscatum																																						AF084322															
Astroloma microcalyx																								JQ667255																													
Astroloma pedicellatum																								JQ667260																													
Astroloma cataphractum																			JQ667089																																		
Astroloma compactum																								JQ667249																													
Astroloma foliosum																								JQ667252																													
Gaultheria itoana																																						AF432430															
Gaultheria taiwaniana																																						AF432429															
Cheilotheca macrocarpa																																						FJ196293															
Cyathodes pumila																							AY372558																														
Rhodothamnus sessilifolius															HM182049																							HM182014															
Orthaea fimbriata																			AF382771																			AF382686															
Orthaea apophysata																			AF382770																			AF382685															
Orthaea venamensis																			AF382772																			AF382687															
Lebetanthus myrsinites							U81797												AF539983																																		
Gaylussacia mosieri			AF271709																																			AF273720															
Gaylussacia virgata			AF271711																																			AF273725															
Gaylussacia nana			AF271706																																			FJ985222															
Gaylussacia baccata			AF271701																																			FJ985196															
Gaylussacia tomentosa			AF271705																																			FJ985233															
Gaylussacia pallida			AF271712																																			AF273723															
Gaylussacia ursina			AF271707																																			FJ985211															
Gaylussacia brachycera			AF271700																																			AF273714															
Gaylussacia brasiliensis			AF271713																																			AF273722															
Gaylussacia frondosa			AF271702																																			FJ985228															
Gaylussacia incana			AF271710																																			AF273724															
Utleya costaricensis																			AF382796																			AF382714															
Thibaudia jahnii																			AF382792																			AF382710															
Lyonia ferruginea							AF124584												U61312																																		
Sphyrospermum campanulatum																			AF382786																			AF382703															
Sphyrospermum microphyllum																			AF382787																			AF382704															
Sphyrospermum sodiroi																																						FJ001706													FJ001749		
Dimorphanthera keysseri																			AF382756																			AF382669															
Dimorphanthera dekockii																			U89756																			AF382667															
Dimorphanthera womersleyi																			AF382758																			AF382671															
Dimorphanthera amoena																			AF382754																			AF382666															
Acrotriche patula																							AY372542	JQ667234																													
Acrotriche serrulata																			JQ667086					JQ667239																													
Acrotriche ramiflora																							AY636036	JQ667236																													
Acrotriche dura																							AY636035	JQ667316																													
Agiortia cicatricata																			AY372632				AY372572																														
Oreanthes glanduliferus																			AF382769																			AF382684															
Woollsia pungens							U80425																AF155847																														
Macleania rupestris																			AF440420																			AY274557															
Macleania floribunda																																						FJ001704													FJ001745		
Monotoca aristata																			JQ667191					JQ667446																													
Monotoca ledifolia																			AY372660				AY372584																														
Monotoca leucantha																			HQ123983					JQ667450																													
Costera endertii																			U89760																			AF382662															
Leucopogon concinnus																			JQ305836					JQ667304																													
Leucopogon neoanglicus																			AY372646				AF208779																														
Leucopogon tamminensis																							AF208792	JQ667427																													
Leucopogon revolutus																							AF208789	JQ667375																													
Leucopogon glabellus																			AY372620				AF208773																														
Leucopogon rotundifolius																			JQ667159					JQ667376																													
Leucopogon melaleucoides																			JQ667148					JQ667352																													
Leucopogon glaucifolius																			JQ667142					JQ667337																													
Leucopogon apiculatus																			JQ667125					JQ667294																													
Leucopogon distans																			JQ667135					JQ667315																													
Leucopogon ruscifolius																			JQ667160					JQ667378																													
Leucopogon planifolius																			JQ667154					JQ667366																													
Leucopogon rubicundus																							AY372579	JQ667377																													
Leucopogon conostephioides																			JQ667131					JQ667305																													
Leucopogon pubescens																			JQ667157					JQ667373																													
Leucopogon hispidus																			JQ667143					JQ667340																													
Leucopogon racemulosus																			JQ667158					JQ667374																													
Leucopogon leptanthus																			JQ667146					JQ667346																													
Ornithostaphylos oppositifolia																																		AF091987				AF091962															
Arbutus arizonica																																		AF091984				AF091958															
Arbutus peninsularis																																		AF091982				AF091956															
Arbutus andrachne																																		AF091980				AF091954															
Arbutus xalapensis																																		AF091983				AF091957															
Pleuricospora fimbriolata																																		AF351929				AF352006															
Erica vagans																			AY517922																			HQ859320															
Erica lusitanica																			HM446159				HM446158																														
Erica baueri																									JF728309								JF728341																				
Erica azorica																			HM850860					HM849979																													
Erica regia																									JF728324								JF728356																				
Erica versicolor																									JF728329								JF728361																				
Rhododendron intranervatum		AY842229																																												AY842198							
Rhododendron baenitzianum		AY842236																																												AY842180							
Rhododendron catacosmum			EU087402																EU087339																																		
Rhododendron quinquefolium			AB038838																											AB038888																							
Rhododendron anhweiense			EU087397																EU087334																																		
Rhododendron cerasinum			EU087418																EU087355																																		
Rhododendron annae		HQ706952																																				AY962559															
Rhododendron praevernum			EU087382																EU087319																																		
Rhododendron mitriforme			AF452202																																			AF393422															
Rhododendron rothschildii			EU087374																EU087311																																		
Rhododendron sinofalconeri			EU087376																EU087313																																		
Rhododendron orbiculare			EU087378																EU087315																																		
Rhododendron hancockii			AF452192																																			AF393429															
Rhododendron phaeochrysum			EU087414																EU087351																																		
Rhododendron calophytum			EU087379																EU087316																																		
Rhododendron multinervium		AY842235																																												AY842204							
Rhododendron westlandii			AF452195																																			AF393433															
Rhododendron faucium			EU087420																EU087357																																		
Rhododendron nakotiltum			EU087413																EU087350																																		
Rhododendron eclecteum			EU087419																EU087356																																		
Rhododendron campanulatum			EU087369																EU087306																																		
Rhododendron yakumontanum			AB038820																											AB038870																							
Rhododendron thomsonii			EU087422																EU087359																																		
Rhododendron duclouxii			AF452210																																			AF452231															
Rhododendron amakusaense			AB038812																											AB038862																							
Rhododendron bachii			AF394259																																			AF452228															
Rhododendron venator			EU087423																EU087360																																		
Rhododendron falconeri			EU087372																U61343																																		
Rhododendron hyacinthosmum		AY196024																																												AY196061							
Rhododendron coryanum			EU087364																EU087300																																		
Rhododendron spiciferum			AF452208																																			AF452230															
Rhododendron lindleyi		AY196026																																												AY196063							
Rhododendron fuyuanense							JF943909																															JF978270															
Rhododendron hidakanum			AB038808																											AB038858																							
Rhododendron leptopeplum		HQ706993					HQ706918																																														
Rhododendron decandrum			AB038809																											AB038859																							
Rhododendron subestipitatum			AF452190																																			AF393427															
Rhododendron hemsleyanum							HQ706910																															HQ707053															
Rhododendron crinigerum			EU087391																EU087328																																		
